Question ID,Model,one,two,tree
74776494,meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH,VERY HIGH
75621833,gpt-3.5-turbo,MEDIUM,MEDIUM,MEDIUM
75621833,meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW,HIGH
74873498,gpt-3.5-turbo,LOW,HIGH,MEDIUM
74873498,meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM,MEDIUM
74829371,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
74829371,meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH,VERY HIGH
74625152,gpt-3.5-turbo,MEDIUM,MEDIUM,VERY LOW
74625152,meta-llama/Llama-2-7b-chat-hf,LOW,LOW,LOW
74985752,gpt-3.5-turbo,HIGH,HIGH,VERY HIGH
74985752,meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH,MEDIUM
75388014,gpt-3.5-turbo,MEDIUM,MEDIUM,LOW
75388014,meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM,MEDIUM
75652520,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
75652520,meta-llama/Llama-2-7b-chat-hf,LOW,HIGH,HIGH
75610201,gpt-3.5-turbo,MEDIUM,LOW,LOW
75610201,meta-llama/Llama-2-7b-chat-hf,VERY LOW,LOW,MEDIUM
75004091,gpt-3.5-turbo,VERY LOW,VERY LOW,VERY LOW
75004091,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,LOW,VERY HIGH
75686934,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
75686934,meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH,VERY HIGH
75133191,gpt-3.5-turbo,MEDIUM,VERY HIGH,MEDIUM
75133191,meta-llama/Llama-2-7b-chat-hf,VERY LOW,VERY HIGH,VERY LOW
75536237,gpt-3.5-turbo,HIGH,HIGH,MEDIUM
75536237,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,HIGH,HIGH
75681460,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
75681460,meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH,HIGH
75255746,gpt-3.5-turbo,HIGH,HIGH,MEDIUM
75255746,meta-llama/Llama-2-7b-chat-hf,VERY LOW,VERY LOW,LOW
74894428,gpt-3.5-turbo,MEDIUM,LOW,VERY LOW
74894428,meta-llama/Llama-2-7b-chat-hf,VERY LOW,LOW,MEDIUM
75701352,gpt-3.5-turbo,HIGH,HIGH,VERY HIGH
75701352,meta-llama/Llama-2-7b-chat-hf,VERY LOW,LOW,MEDIUM
75355962,gpt-3.5-turbo,HIGH,VERY HIGH,VERY HIGH
75355962,meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM,MEDIUM
76046277,gpt-3.5-turbo,VERY HIGH,VERY LOW,MEDIUM
76046277,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,HIGH
74958798,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
74958798,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,VERY HIGH
75940783,gpt-3.5-turbo,MEDIUM,VERY LOW,MEDIUM
75940783,meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW,MEDIUM
75449324,gpt-3.5-turbo,VERY HIGH,VERY LOW,LOW
75449324,meta-llama/Llama-2-7b-chat-hf,VERY LOW,LOW,LOW
74645329,gpt-3.5-turbo,HIGH,MEDIUM,MEDIUM
74645329,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,VERY HIGH
75973321,gpt-3.5-turbo,LOW,VERY LOW,MEDIUM
75973321,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH,HIGH
74952536,gpt-3.5-turbo,HIGH,HIGH,HIGH
74952536,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,HIGH,MEDIUM
75491505,gpt-3.5-turbo,HIGH,HIGH,VERY HIGH
75491505,meta-llama/Llama-2-7b-chat-hf,LOW,LOW,MEDIUM
75705927,gpt-3.5-turbo,LOW,LOW,HIGH
75705927,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,HIGH,HIGH
74678625,gpt-3.5-turbo,MEDIUM,LOW,VERY HIGH
74678625,meta-llama/Llama-2-7b-chat-hf,VERY LOW,LOW,MEDIUM
75442293,gpt-3.5-turbo,HIGH,MEDIUM,MEDIUM
75442293,meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH,HIGH
74673173,gpt-3.5-turbo,VERY HIGH,MEDIUM,HIGH
74673173,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW,HIGH
75203685,gpt-3.5-turbo,VERY HIGH,HIGH,HIGH
75203685,meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW,VERY HIGH
74836161,gpt-3.5-turbo,MEDIUM,MEDIUM,MEDIUM
74836161,meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH,HIGH
75499333,gpt-3.5-turbo,MEDIUM,HIGH,HIGH
75499333,meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM,LOW
75791645,gpt-3.5-turbo,HIGH,VERY LOW,HIGH
75791645,meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM,MEDIUM
75005196,gpt-3.5-turbo,MEDIUM,MEDIUM,MEDIUM
75005196,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
75010505,gpt-3.5-turbo,VERY HIGH,VERY HIGH,VERY HIGH
75010505,meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM,VERY HIGH
75723026,gpt-3.5-turbo,HIGH,HIGH,LOW
75723026,meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH,HIGH
75900187,gpt-3.5-turbo,HIGH,VERY HIGH,VERY HIGH
75900187,meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW,MEDIUM
75717363,gpt-3.5-turbo,MEDIUM,MEDIUM,VERY HIGH
75717363,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,MEDIUM,VERY HIGH
75579311,gpt-3.5-turbo,VERY HIGH,VERY HIGH,VERY HIGH
75579311,meta-llama/Llama-2-7b-chat-hf,LOW,LOW,LOW
75517315,gpt-3.5-turbo,VERY HIGH,HIGH,MEDIUM
75517315,meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW,VERY HIGH
75717664,gpt-3.5-turbo,MEDIUM,MEDIUM,MEDIUM
75717664,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
74971911,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
74971911,meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH,MEDIUM
75441608,gpt-3.5-turbo,HIGH,HIGH,MEDIUM
75441608,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
74758047,gpt-3.5-turbo,VERY HIGH,MEDIUM,VERY HIGH
74758047,meta-llama/Llama-2-7b-chat-hf,LOW,LOW,MEDIUM
75233987,gpt-3.5-turbo,LOW,MEDIUM,VERY HIGH
75233987,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY LOW,LOW
76037084,gpt-3.5-turbo,MEDIUM,HIGH,MEDIUM
76037084,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH,MEDIUM
74691834,gpt-3.5-turbo,HIGH,HIGH,VERY HIGH
74691834,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,MEDIUM,MEDIUM
75920221,gpt-3.5-turbo,VERY HIGH,VERY HIGH,HIGH
75920221,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,VERY HIGH
75056900,gpt-3.5-turbo,VERY HIGH,VERY HIGH,MEDIUM
75056900,meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW,MEDIUM
75689998,gpt-3.5-turbo,VERY HIGH,LOW,MEDIUM
75689998,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,MEDIUM,LOW
75221294,gpt-3.5-turbo,LOW,MEDIUM,LOW
75221294,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,LOW
74729692,gpt-3.5-turbo,MEDIUM,MEDIUM,VERY HIGH
74729692,meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW,VERY LOW
76034504,gpt-3.5-turbo,HIGH,MEDIUM,LOW
76034504,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,VERY HIGH
75211654,gpt-3.5-turbo,MEDIUM,VERY LOW,LOW
75211654,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
74962116,gpt-3.5-turbo,HIGH,HIGH,LOW
74962116,meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW,LOW
74717107,gpt-3.5-turbo,MEDIUM,LOW,MEDIUM
74717107,meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH,HIGH
75974000,gpt-3.5-turbo,VERY HIGH,LOW,HIGH
75974000,meta-llama/Llama-2-7b-chat-hf,LOW,LOW,VERY HIGH
75298311,gpt-3.5-turbo,HIGH,MEDIUM,VERY HIGH
75298311,meta-llama/Llama-2-7b-chat-hf,HIGH,LOW,MEDIUM
75037519,gpt-3.5-turbo,VERY HIGH,VERY HIGH,HIGH
75037519,meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM,HIGH
74929519,gpt-3.5-turbo,HIGH,VERY HIGH,VERY HIGH
74929519,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,HIGH
74622976,gpt-3.5-turbo,VERY HIGH,VERY HIGH,MEDIUM
74622976,meta-llama/Llama-2-7b-chat-hf,VERY LOW,LOW,MEDIUM
75114654,gpt-3.5-turbo,LOW,MEDIUM,MEDIUM
75114654,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,HIGH
75854182,gpt-3.5-turbo,HIGH,MEDIUM,VERY LOW
75854182,meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH,MEDIUM
75093391,gpt-3.5-turbo,MEDIUM,MEDIUM,MEDIUM
75093391,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH,VERY HIGH
75193954,gpt-3.5-turbo,VERY HIGH,VERY HIGH,HIGH
75193954,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,LOW,MEDIUM
75389612,gpt-3.5-turbo,VERY HIGH,VERY HIGH,HIGH
75389612,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,HIGH,MEDIUM
75802587,gpt-3.5-turbo,LOW,MEDIUM,LOW
75802587,meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM,LOW
75258460,gpt-3.5-turbo,LOW,LOW,LOW
75258460,meta-llama/Llama-2-7b-chat-hf,LOW,LOW,VERY LOW
75323021,gpt-3.5-turbo,VERY HIGH,VERY HIGH,MEDIUM
75323021,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,LOW,MEDIUM
75617550,gpt-3.5-turbo,HIGH,HIGH,MEDIUM
75617550,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH,HIGH
75150846,gpt-3.5-turbo,VERY HIGH,MEDIUM,VERY HIGH
75150846,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,MEDIUM
74934470,gpt-3.5-turbo,HIGH,VERY HIGH,HIGH
74934470,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,HIGH,LOW
75579392,gpt-3.5-turbo,HIGH,MEDIUM,HIGH
75579392,meta-llama/Llama-2-7b-chat-hf,VERY LOW,HIGH,LOW
75155658,gpt-3.5-turbo,LOW,LOW,MEDIUM
75155658,meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM,LOW
75312392,gpt-3.5-turbo,MEDIUM,HIGH,HIGH
75312392,meta-llama/Llama-2-7b-chat-hf,LOW,LOW,LOW
75459074,gpt-3.5-turbo,MEDIUM,MEDIUM,LOW
75459074,meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH,VERY HIGH
74743227,gpt-3.5-turbo,MEDIUM,LOW,LOW
74743227,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
75307309,gpt-3.5-turbo,HIGH,MEDIUM,MEDIUM
75307309,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,MEDIUM,HIGH
75410394,gpt-3.5-turbo,LOW,MEDIUM,VERY HIGH
75410394,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
75085893,gpt-3.5-turbo,MEDIUM,MEDIUM,VERY HIGH
75085893,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,LOW
75434793,gpt-3.5-turbo,HIGH,HIGH,HIGH
75434793,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,HIGH
75778261,gpt-3.5-turbo,LOW,LOW,LOW
75778261,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,LOW
74677143,gpt-3.5-turbo,MEDIUM,MEDIUM,MEDIUM
74677143,meta-llama/Llama-2-7b-chat-hf,LOW,LOW,MEDIUM
75993119,gpt-3.5-turbo,HIGH,MEDIUM,MEDIUM
75993119,meta-llama/Llama-2-7b-chat-hf,VERY LOW,VERY LOW,MEDIUM
74773637,gpt-3.5-turbo,LOW,MEDIUM,LOW
74773637,meta-llama/Llama-2-7b-chat-hf,HIGH,LOW,HIGH
74624685,gpt-3.5-turbo,MEDIUM,HIGH,LOW
74624685,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,HIGH
76011691,gpt-3.5-turbo,VERY HIGH,HIGH,HIGH
76011691,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,HIGH,VERY HIGH
75340300,gpt-3.5-turbo,LOW,HIGH,HIGH
75340300,meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH,LOW
75534461,gpt-3.5-turbo,HIGH,MEDIUM,MEDIUM
75534461,meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW,VERY HIGH
75220574,gpt-3.5-turbo,HIGH,MEDIUM,VERY HIGH
75220574,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH,LOW
75149224,gpt-3.5-turbo,HIGH,HIGH,HIGH
75149224,meta-llama/Llama-2-7b-chat-hf,LOW,LOW,MEDIUM
75526159,gpt-3.5-turbo,HIGH,LOW,VERY HIGH
75526159,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,HIGH,VERY HIGH
75448140,gpt-3.5-turbo,MEDIUM,LOW,VERY LOW
75448140,meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW,LOW
75074930,gpt-3.5-turbo,MEDIUM,VERY HIGH,LOW
75074930,meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM,HIGH
75176482,gpt-3.5-turbo,MEDIUM,HIGH,VERY HIGH
75176482,meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW,VERY LOW
74857640,gpt-3.5-turbo,MEDIUM,MEDIUM,MEDIUM
74857640,meta-llama/Llama-2-7b-chat-hf,VERY LOW,VERY LOW,LOW
74999834,gpt-3.5-turbo,LOW,VERY HIGH,MEDIUM
74999834,meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH,LOW
74994173,gpt-3.5-turbo,MEDIUM,LOW,MEDIUM
74994173,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
74960462,gpt-3.5-turbo,VERY HIGH,HIGH,HIGH
74960462,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,MEDIUM,HIGH
75445007,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
75445007,meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM,VERY HIGH
75412792,gpt-3.5-turbo,LOW,LOW,VERY HIGH
75412792,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,MEDIUM
75314123,gpt-3.5-turbo,VERY HIGH,MEDIUM,VERY HIGH
75314123,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
74866512,gpt-3.5-turbo,MEDIUM,MEDIUM,LOW
74866512,meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM,LOW
75045986,gpt-3.5-turbo,MEDIUM,MEDIUM,VERY HIGH
75045986,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,LOW
75666984,gpt-3.5-turbo,HIGH,VERY HIGH,LOW
75666984,meta-llama/Llama-2-7b-chat-hf,HIGH,LOW,HIGH
75132488,gpt-3.5-turbo,VERY HIGH,LOW,MEDIUM
75132488,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH,MEDIUM
74765010,gpt-3.5-turbo,MEDIUM,HIGH,VERY HIGH
74765010,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH,LOW
75802832,gpt-3.5-turbo,VERY HIGH,VERY HIGH,VERY HIGH
75802832,meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH,HIGH
75299402,gpt-3.5-turbo,VERY LOW,VERY LOW,LOW
75299402,meta-llama/Llama-2-7b-chat-hf,VERY LOW,MEDIUM,MEDIUM
74811238,gpt-3.5-turbo,MEDIUM,LOW,VERY LOW
74811238,meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW,LOW
76048911,gpt-3.5-turbo,MEDIUM,VERY HIGH,HIGH
76048911,meta-llama/Llama-2-7b-chat-hf,VERY LOW,MEDIUM,LOW
75335522,gpt-3.5-turbo,VERY HIGH,VERY HIGH,MEDIUM
75335522,meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW,MEDIUM
74621685,gpt-3.5-turbo,MEDIUM,HIGH,VERY HIGH
74621685,meta-llama/Llama-2-7b-chat-hf,HIGH,LOW,MEDIUM
75439576,gpt-3.5-turbo,MEDIUM,HIGH,HIGH
75439576,meta-llama/Llama-2-7b-chat-hf,LOW,HIGH,LOW
75449068,gpt-3.5-turbo,MEDIUM,VERY HIGH,MEDIUM
75449068,meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH,HIGH
75412883,gpt-3.5-turbo,LOW,LOW,LOW
75412883,meta-llama/Llama-2-7b-chat-hf,LOW,HIGH,VERY HIGH
75363507,gpt-3.5-turbo,HIGH,MEDIUM,LOW
75363507,meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH,VERY HIGH
75679966,gpt-3.5-turbo,LOW,MEDIUM,MEDIUM
75679966,meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM,MEDIUM
74934504,gpt-3.5-turbo,MEDIUM,MEDIUM,LOW
74934504,meta-llama/Llama-2-7b-chat-hf,VERY LOW,LOW,VERY LOW
75095945,gpt-3.5-turbo,HIGH,HIGH,MEDIUM
75095945,meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM,MEDIUM
75852462,gpt-3.5-turbo,VERY HIGH,HIGH,VERY HIGH
75852462,meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW,LOW
74777076,gpt-3.5-turbo,MEDIUM,VERY HIGH,MEDIUM
74777076,meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH,LOW
74795206,gpt-3.5-turbo,HIGH,LOW,HIGH
74795206,meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH,VERY HIGH
75604275,gpt-3.5-turbo,HIGH,VERY HIGH,VERY HIGH
75604275,meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH,HIGH
75768912,gpt-3.5-turbo,LOW,VERY LOW,LOW
75768912,meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM,MEDIUM
75980105,gpt-3.5-turbo,VERY HIGH,HIGH,MEDIUM
