Question ID,LLAMA,GPT
75610201-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
75004091-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
75686934-gpt-3.5-turbo,MEDIUM,VERY HIGH
75686934-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
75536237-gpt-3.5-turbo,HIGH,HIGH
75255746-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74894428-gpt-3.5-turbo,MEDIUM,MEDIUM
75701352-gpt-3.5-turbo,HIGH,HIGH
75701352-meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW
75355962-gpt-3.5-turbo,HIGH,HIGH
76046277-gpt-3.5-turbo,HIGH,VERY HIGH
76046277-meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH
74958798-gpt-3.5-turbo,HIGH,VERY HIGH
74958798-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75940783-gpt-3.5-turbo,MEDIUM,MEDIUM
75449324-gpt-3.5-turbo,MEDIUM,VERY HIGH
75449324-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
74645329-gpt-3.5-turbo,HIGH,HIGH
75973321-gpt-3.5-turbo,MEDIUM,LOW
75973321-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
74952536-gpt-3.5-turbo,HIGH,HIGH
75705927-gpt-3.5-turbo,LOW,LOW
74678625-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
75442293-gpt-3.5-turbo,HIGH,HIGH
75203685-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74836161-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75499333-gpt-3.5-turbo,HIGH,MEDIUM
75791645-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
75005196-gpt-3.5-turbo,MEDIUM,MEDIUM
75010505-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
75723026-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75517315-gpt-3.5-turbo,MEDIUM,VERY HIGH
75517315-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
75717664-gpt-3.5-turbo,LOW,MEDIUM
74971911-gpt-3.5-turbo,MEDIUM,VERY HIGH
74971911-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75441608-gpt-3.5-turbo,HIGH,HIGH
75441608-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
74758047-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
75233987-gpt-3.5-turbo,MEDIUM,LOW
76037084-gpt-3.5-turbo,MEDIUM,MEDIUM
74691834-gpt-3.5-turbo,MEDIUM,HIGH
75920221-gpt-3.5-turbo,HIGH,VERY HIGH
75920221-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75056900-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75689998-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75221294-gpt-3.5-turbo,MEDIUM,LOW
75221294-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
76034504-gpt-3.5-turbo,MEDIUM,HIGH
76034504-meta-llama/Llama-2-7b-chat-hf,VERY HIGH,VERY HIGH
75211654-gpt-3.5-turbo,HIGH,MEDIUM
74717107-gpt-3.5-turbo,HIGH,MEDIUM
74717107-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75974000-gpt-3.5-turbo,MEDIUM,VERY HIGH
75974000-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75298311-gpt-3.5-turbo,MEDIUM,HIGH
75298311-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
75037519-gpt-3.5-turbo,MEDIUM,VERY HIGH
74929519-gpt-3.5-turbo,MEDIUM,HIGH
74622976-gpt-3.5-turbo,HIGH,VERY HIGH
74622976-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
75114654-gpt-3.5-turbo,MEDIUM,LOW
75854182-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75093391-gpt-3.5-turbo,MEDIUM,MEDIUM
75193954-gpt-3.5-turbo,LOW,VERY HIGH
75389612-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
75802587-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75258460-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75617550-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
75150846-gpt-3.5-turbo,HIGH,VERY HIGH
75150846-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74934470-gpt-3.5-turbo,MEDIUM,HIGH
74934470-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75579392-gpt-3.5-turbo,MEDIUM,HIGH
75579392-meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW
75155658-gpt-3.5-turbo,LOW,LOW
75155658-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
75312392-gpt-3.5-turbo,MEDIUM,MEDIUM
74743227-gpt-3.5-turbo,MEDIUM,MEDIUM
74743227-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75307309-gpt-3.5-turbo,HIGH,HIGH
75410394-gpt-3.5-turbo,MEDIUM,LOW
75410394-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75085893-gpt-3.5-turbo,HIGH,MEDIUM
75085893-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75434793-gpt-3.5-turbo,HIGH,HIGH
75434793-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
75778261-gpt-3.5-turbo,LOW,LOW
74677143-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
75993119-gpt-3.5-turbo,HIGH,HIGH
74773637-gpt-3.5-turbo,HIGH,LOW
74624685-gpt-3.5-turbo,HIGH,MEDIUM
76011691-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
75340300-gpt-3.5-turbo,MEDIUM,LOW
75220574-gpt-3.5-turbo,MEDIUM,HIGH
75220574-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75149224-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75526159-gpt-3.5-turbo,HIGH,HIGH
75448140-gpt-3.5-turbo,MEDIUM,MEDIUM
75074930-gpt-3.5-turbo,HIGH,MEDIUM
75074930-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
75176482-gpt-3.5-turbo,HIGH,MEDIUM
75176482-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74857640-gpt-3.5-turbo,MEDIUM,MEDIUM
74857640-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74994173-gpt-3.5-turbo,HIGH,MEDIUM
74960462-gpt-3.5-turbo,HIGH,VERY HIGH
74960462-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75445007-gpt-3.5-turbo,HIGH,VERY HIGH
75445007-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
75412792-gpt-3.5-turbo,MEDIUM,LOW
74866512-gpt-3.5-turbo,MEDIUM,MEDIUM
74866512-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75045986-gpt-3.5-turbo,MEDIUM,MEDIUM
75045986-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75666984-gpt-3.5-turbo,MEDIUM,HIGH
74765010-gpt-3.5-turbo,MEDIUM,MEDIUM
74765010-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
75802832-gpt-3.5-turbo,MEDIUM,VERY HIGH
75299402-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
74811238-gpt-3.5-turbo,HIGH,MEDIUM
74811238-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
76048911-gpt-3.5-turbo,HIGH,MEDIUM
76048911-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
75335522-gpt-3.5-turbo,MEDIUM,VERY HIGH
75335522-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
74621685-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
75449068-gpt-3.5-turbo,HIGH,MEDIUM
75449068-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75412883-gpt-3.5-turbo,MEDIUM,LOW
75412883-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75363507-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75679966-gpt-3.5-turbo,HIGH,LOW
74934504-gpt-3.5-turbo,MEDIUM,MEDIUM
74934504-meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW
75095945-gpt-3.5-turbo,MEDIUM,HIGH
75852462-gpt-3.5-turbo,MEDIUM,VERY HIGH
75852462-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
74777076-gpt-3.5-turbo,LOW,MEDIUM
74777076-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
74795206-gpt-3.5-turbo,MEDIUM,HIGH
74795206-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75604275-gpt-3.5-turbo,HIGH,HIGH
75768912-gpt-3.5-turbo,HIGH,LOW
75768912-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
74933094-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75058127-gpt-3.5-turbo,HIGH,MEDIUM
74935947-gpt-3.5-turbo,MEDIUM,VERY LOW
74935947-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
75385779-gpt-3.5-turbo,MEDIUM,HIGH
75385779-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74753176-gpt-3.5-turbo,HIGH,HIGH
74753176-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75642280-gpt-3.5-turbo,MEDIUM,VERY HIGH
75463207-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
75948146-gpt-3.5-turbo,HIGH,LOW
75948146-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
75698936-gpt-3.5-turbo,MEDIUM,HIGH
75698936-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75056287-gpt-3.5-turbo,HIGH,VERY HIGH
75056287-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
74768073-gpt-3.5-turbo,HIGH,LOW
74768073-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
75090788-gpt-3.5-turbo,MEDIUM,HIGH
75090788-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75259064-gpt-3.5-turbo,HIGH,VERY LOW
75259064-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75406341-gpt-3.5-turbo,HIGH,HIGH
75406341-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
76004983-gpt-3.5-turbo,MEDIUM,LOW
76004983-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75089553-gpt-3.5-turbo,MEDIUM,VERY LOW
75650611-gpt-3.5-turbo,HIGH,VERY HIGH
75650611-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
74713371-gpt-3.5-turbo,HIGH,HIGH
75627568-gpt-3.5-turbo,MEDIUM,MEDIUM
75627568-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74746284-gpt-3.5-turbo,MEDIUM,VERY LOW
74746284-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
76071743-gpt-3.5-turbo,MEDIUM,LOW
76071743-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
75726570-gpt-3.5-turbo,MEDIUM,VERY HIGH
75726570-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74864399-gpt-3.5-turbo,HIGH,VERY HIGH
74864399-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75056105-gpt-3.5-turbo,HIGH,HIGH
75188688-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
74991186-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74825007-gpt-3.5-turbo,MEDIUM,VERY HIGH
74905593-gpt-3.5-turbo,MEDIUM,HIGH
74905593-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
75438995-gpt-3.5-turbo,MEDIUM,HIGH
75390841-gpt-3.5-turbo,HIGH,LOW
74877491-gpt-3.5-turbo,HIGH,VERY HIGH
75950803-gpt-3.5-turbo,MEDIUM,VERY LOW
75950803-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75080882-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75374281-gpt-3.5-turbo,HIGH,LOW
75374281-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75881502-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74976717-gpt-3.5-turbo,LOW,VERY HIGH
74976717-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75184994-gpt-3.5-turbo,MEDIUM,MEDIUM
75184994-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
74776471-gpt-3.5-turbo,MEDIUM,LOW
74916407-gpt-3.5-turbo,MEDIUM,MEDIUM
76066060-gpt-3.5-turbo,MEDIUM,MEDIUM
76066060-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
75318474-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
75204334-gpt-3.5-turbo,HIGH,HIGH
75205360-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75083235-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75549944-gpt-3.5-turbo,MEDIUM,MEDIUM
75763820-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
75205665-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
75003993-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75827366-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY LOW
75555522-gpt-3.5-turbo,MEDIUM,VERY LOW
75056149-meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW
74670948-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
74778945-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
75416375-meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW
75238728-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74794400-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75619912-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
75514021-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74743835-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74776364-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
75052561-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74930743-meta-llama/Llama-2-7b-chat-hf,HIGH ,HIGH
75194484-gpt-3.5-turbo,LOW,MEDIUM
75187395-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75699798-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75610549-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75648158-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75694420-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75377287-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
76082047-meta-llama/Llama-2-7b-chat-hf,VERY HIGH,HIGH
74659206-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
74698926-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
75585439-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
74661098-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
76028371-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
75130798-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
74708210-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75801284-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75144334-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75554326-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75517381-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
75219282-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
74626863-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
75194988-gpt-3.5-turbo,MEDIUM,LOW
75248840-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
75100575-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
74895100-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
75909740-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75928075-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75672793-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
74633644-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
75758831-meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH
74704512-meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH
76018687-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
75584772-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
75659998-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
75922766-gpt-3.5-turbo,HIGH,MEDIUM
75922766-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
75367179-meta-llama/Llama-2-7b-chat-hf,LOW,VERY HIGH
75080442-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
74632731-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75264592-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
75780030-meta-llama/Llama-2-7b-chat-hf,HIGH,HIGH
74765075-gpt-3.5-turbo,MEDIUM,MEDIUM
75794776-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
74919045-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75635774-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
75291308-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
74745783-gpt-3.5-turbo,MEDIUM,HIGH
74745783-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75426952-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY HIGH
74802863-meta-llama/Llama-2-7b-chat-hf,LOW,HIGH
74996056-meta-llama/Llama-2-7b-chat-hf,MEDIUM,VERY LOW
75119837-meta-llama/Llama-2-7b-chat-hf,HIGH,MEDIUM
75346885-meta-llama/Llama-2-7b-chat-hf,LOW,VERY LOW
75012061-gpt-3.5-turbo,HIGH,LOW
75012061-meta-llama/Llama-2-7b-chat-hf,LOW,MEDIUM
75135923-meta-llama/Llama-2-7b-chat-hf,LOW,LOW
74637515-meta-llama/Llama-2-7b-chat-hf,MEDIUM,LOW
75715631-meta-llama/Llama-2-7b-chat-hf,MEDIUM,MEDIUM
75977888-meta-llama/Llama-2-7b-chat-hf,HIGH,LOW
74870967-meta-llama/Llama-2-7b-chat-hf,MEDIUM,HIGH
75193954-meta-llama/Llama-2-7b-chat-hf,HIGH,VERY HIGH
74997974-gpt-3.5-turbo,LOW,VERY LOW
75083235-gpt-3.5-turbo,LOW,MEDIUM
75763820-gpt-3.5-turbo,MEDIUM,HIGH
76009085-gpt-3.5-turbo,HIGH,MEDIUM
75999602-gpt-3.5-turbo,MEDIUM,LOW
75003993-gpt-3.5-turbo,HIGH,LOW
75827366-gpt-3.5-turbo,MEDIUM,VERY HIGH
74670948-gpt-3.5-turbo,LOW,HIGH
74778945-gpt-3.5-turbo,MEDIUM,VERY HIGH
74807729-gpt-3.5-turbo,MEDIUM,LOW
75238728-gpt-3.5-turbo,HIGH,MEDIUM
74794400-gpt-3.5-turbo,HIGH,VERY HIGH
75764309-gpt-3.5-turbo,LOW,HIGH
75815092-gpt-3.5-turbo,LOW,HIGH
75514021-gpt-3.5-turbo,MEDIUM,VERY HIGH
76009718-gpt-3.5-turbo,HIGH,VERY LOW
74743835-gpt-3.5-turbo,HIGH,VERY HIGH
74776364-gpt-3.5-turbo,MEDIUM,HIGH
74930743-gpt-3.5-turbo,LOW,VERY HIGH
75723462-gpt-3.5-turbo,HIGH,VERY HIGH
75699798-gpt-3.5-turbo,HIGH,LOW
75648158-gpt-3.5-turbo,MEDIUM,HIGH
75552848-gpt-3.5-turbo,HIGH,HIGH
74698926-gpt-3.5-turbo,HIGH,HIGH
74661098-gpt-3.5-turbo,MEDIUM,HIGH
74708210-gpt-3.5-turbo,HIGH,HIGH
75144334-gpt-3.5-turbo,LOW,MEDIUM
75036609-gpt-3.5-turbo,MEDIUM,HIGH
75666909-gpt-3.5-turbo,HIGH,VERY HIGH
75554326-gpt-3.5-turbo,MEDIUM,VERY HIGH
75039363-gpt-3.5-turbo,HIGH,LOW
75517381-gpt-3.5-turbo,MEDIUM,VERY HIGH
75022490-gpt-3.5-turbo,LOW,VERY HIGH
75610152-gpt-3.5-turbo,MEDIUM,MEDIUM
74721482-gpt-3.5-turbo,HIGH,HIGH
75569999-gpt-3.5-turbo,LOW,HIGH
75709844-gpt-3.5-turbo,MEDIUM,HIGH
75958646-gpt-3.5-turbo,HIGH,LOW
74895100-gpt-3.5-turbo,MEDIUM,VERY HIGH
75672793-gpt-3.5-turbo,MEDIUM,VERY HIGH
75758831-gpt-3.5-turbo,HIGH,VERY HIGH
74704512-gpt-3.5-turbo,HIGH,VERY HIGH
76018687-gpt-3.5-turbo,MEDIUM,VERY HIGH
75584772-gpt-3.5-turbo,LOW,MEDIUM
74635523-gpt-3.5-turbo,MEDIUM,LOW
75768527-gpt-3.5-turbo,LOW,MEDIUM
75659998-gpt-3.5-turbo,HIGH,VERY LOW
75338255-gpt-3.5-turbo,MEDIUM,HIGH
75367179-gpt-3.5-turbo,VERY HIGH,HIGH
75003039-gpt-3.5-turbo,MEDIUM,HIGH
75264592-gpt-3.5-turbo,LOW,MEDIUM
74694970-gpt-3.5-turbo,MEDIUM,HIGH
75780030-gpt-3.5-turbo,MEDIUM,VERY HIGH
75198599-gpt-3.5-turbo,LOW,VERY HIGH
75794776-gpt-3.5-turbo,HIGH,HIGH
75635774-gpt-3.5-turbo,MEDIUM,VERY HIGH
75291308-gpt-3.5-turbo,HIGH,VERY HIGH
75369191-gpt-3.5-turbo,MEDIUM,MEDIUM
75426952-gpt-3.5-turbo,MEDIUM,HIGH
76012769-gpt-3.5-turbo,HIGH,LOW
74802863-gpt-3.5-turbo,MEDIUM,VERY HIGH
75119837-gpt-3.5-turbo,MEDIUM,HIGH
75903800-gpt-3.5-turbo,MEDIUM,MEDIUM
75346885-gpt-3.5-turbo,HIGH,HIGH
75135923-gpt-3.5-turbo,MEDIUM,VERY LOW
74637515-gpt-3.5-turbo,LOW,LOW
75919061-gpt-3.5-turbo,MEDIUM,LOW
75494817-gpt-3.5-turbo,MEDIUM,High
75644586-gpt-3.5-turbo,HIGH,HIGH
75977888-gpt-3.5-turbo,HIGH,MEDIUM
75135939-gpt-3.5-turbo,HIGH,HIGH
75346823-gpt-3.5-turbo,HIGH,MEDIUM
