Question ID,Model,Similarity
75323021,gpt-3.5-turbo,VERY HIGH
75323021,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75617550,gpt-3.5-turbo,HIGH
75617550,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75150846,gpt-3.5-turbo,VERY HIGH
75150846,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74934470,gpt-3.5-turbo,HIGH
74934470,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75579392,gpt-3.5-turbo,HIGH
75579392,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75155658,gpt-3.5-turbo,LOW
75155658,meta-llama/Llama-2-7b-chat-hf,LOW
75312392,gpt-3.5-turbo,MEDIUM
75312392,meta-llama/Llama-2-7b-chat-hf,LOW
75459074,gpt-3.5-turbo,MEDIUM
75459074,meta-llama/Llama-2-7b-chat-hf,HIGH
74743227,gpt-3.5-turbo,MEDIUM
74743227,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75307309,gpt-3.5-turbo,HIGH
75307309,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75410394,gpt-3.5-turbo,LOW
75410394,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75085893,gpt-3.5-turbo,MEDIUM
75085893,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75434793,gpt-3.5-turbo,HIGH
75434793,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75778261,gpt-3.5-turbo,LOW
75778261,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74677143,gpt-3.5-turbo,MEDIUM
74677143,meta-llama/Llama-2-7b-chat-hf,LOW
75993119,gpt-3.5-turbo,HIGH
75993119,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74773637,gpt-3.5-turbo,LOW
74773637,meta-llama/Llama-2-7b-chat-hf,HIGH
74624685,gpt-3.5-turbo,MEDIUM
74624685,meta-llama/Llama-2-7b-chat-hf,MEDIUM
76011691,gpt-3.5-turbo,VERY HIGH
76011691,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75340300,gpt-3.5-turbo,LOW
75340300,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75534461,gpt-3.5-turbo,HIGH
75534461,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75220574,gpt-3.5-turbo,HIGH
75220574,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75149224,gpt-3.5-turbo,HIGH
75149224,meta-llama/Llama-2-7b-chat-hf,LOW
75526159,gpt-3.5-turbo,HIGH
75526159,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75448140,gpt-3.5-turbo,MEDIUM
75448140,meta-llama/Llama-2-7b-chat-hf,LOW
75074930,gpt-3.5-turbo,MEDIUM
75074930,meta-llama/Llama-2-7b-chat-hf,HIGH
75176482,gpt-3.5-turbo,MEDIUM
75176482,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74857640,gpt-3.5-turbo,MEDIUM
74857640,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74999834,gpt-3.5-turbo,LOW
74999834,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74994173,gpt-3.5-turbo,MEDIUM
74994173,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74960462,gpt-3.5-turbo,VERY HIGH
74960462,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75445007,gpt-3.5-turbo,VERY HIGH
75445007,meta-llama/Llama-2-7b-chat-hf,HIGH
75412792,gpt-3.5-turbo,LOW
75412792,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75314123,gpt-3.5-turbo,VERY HIGH
75314123,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74866512,gpt-3.5-turbo,MEDIUM
74866512,meta-llama/Llama-2-7b-chat-hf,LOW
75045986,gpt-3.5-turbo,MEDIUM
75045986,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75666984,gpt-3.5-turbo,HIGH
75666984,meta-llama/Llama-2-7b-chat-hf,HIGH
75132488,gpt-3.5-turbo,VERY HIGH
75132488,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74765010,gpt-3.5-turbo,MEDIUM
74765010,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75802832,gpt-3.5-turbo,VERY HIGH
75802832,meta-llama/Llama-2-7b-chat-hf,HIGH
75299402,gpt-3.5-turbo,VERY LOW
75299402,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74811238,gpt-3.5-turbo,MEDIUM
74811238,meta-llama/Llama-2-7b-chat-hf,LOW
76048911,gpt-3.5-turbo,MEDIUM
76048911,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75335522,gpt-3.5-turbo,VERY HIGH
75335522,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74621685,gpt-3.5-turbo,MEDIUM
74621685,meta-llama/Llama-2-7b-chat-hf,HIGH
75439576,gpt-3.5-turbo,MEDIUM
75439576,meta-llama/Llama-2-7b-chat-hf,LOW
75449068,gpt-3.5-turbo,MEDIUM
75449068,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75412883,gpt-3.5-turbo,LOW
75412883,meta-llama/Llama-2-7b-chat-hf,LOW
75363507,gpt-3.5-turbo,HIGH
75363507,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75679966,gpt-3.5-turbo,LOW
75679966,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74934504,gpt-3.5-turbo,MEDIUM
74934504,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75095945,gpt-3.5-turbo,HIGH
75095945,meta-llama/Llama-2-7b-chat-hf,HIGH
75852462,gpt-3.5-turbo,VERY HIGH
75852462,meta-llama/Llama-2-7b-chat-hf,HIGH
74777076,gpt-3.5-turbo,MEDIUM
74777076,meta-llama/Llama-2-7b-chat-hf,HIGH
74795206,gpt-3.5-turbo,HIGH
74795206,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75604275,gpt-3.5-turbo,HIGH
75604275,meta-llama/Llama-2-7b-chat-hf,HIGH
75768912,gpt-3.5-turbo,LOW
75768912,meta-llama/Llama-2-7b-chat-hf,HIGH
75980105,gpt-3.5-turbo,VERY HIGH
75980105,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74933094,gpt-3.5-turbo,LOW
74933094,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75058127,gpt-3.5-turbo,MEDIUM
75058127,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75380288,gpt-3.5-turbo,MEDIUM
75380288,meta-llama/Llama-2-7b-chat-hf,LOW
74935947,gpt-3.5-turbo,VERY LOW
74935947,meta-llama/Llama-2-7b-chat-hf,HIGH
75385779,gpt-3.5-turbo,HIGH
75385779,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74753176,gpt-3.5-turbo,HIGH
74753176,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75642280,gpt-3.5-turbo,VERY HIGH
75642280,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75354216,gpt-3.5-turbo,VERY HIGH
75354216,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75035488,gpt-3.5-turbo,LOW
75035488,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75463207,gpt-3.5-turbo,VERY HIGH
75463207,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75210719,gpt-3.5-turbo,LOW
75210719,meta-llama/Llama-2-7b-chat-hf,HIGH
75785613,gpt-3.5-turbo,VERY HIGH
75785613,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75948146,gpt-3.5-turbo,LOW
75948146,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75698936,gpt-3.5-turbo,HIGH
75698936,meta-llama/Llama-2-7b-chat-hf,LOW
75056287,gpt-3.5-turbo,VERY HIGH
75056287,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74768073,gpt-3.5-turbo,LOW
74768073,meta-llama/Llama-2-7b-chat-hf,HIGH
75090788,gpt-3.5-turbo,HIGH
75090788,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75428138,gpt-3.5-turbo,MEDIUM
75428138,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75259064,gpt-3.5-turbo,VERY LOW
75259064,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75406341,gpt-3.5-turbo,HIGH
75406341,meta-llama/Llama-2-7b-chat-hf,MEDIUM
76004983,gpt-3.5-turbo,LOW
76004983,meta-llama/Llama-2-7b-chat-hf,LOW
75089553,gpt-3.5-turbo,VERY LOW
75089553,meta-llama/Llama-2-7b-chat-hf,LOW
75650611,gpt-3.5-turbo,VERY HIGH
75650611,meta-llama/Llama-2-7b-chat-hf,HIGH
74713371,gpt-3.5-turbo,HIGH
74713371,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75627568,gpt-3.5-turbo,MEDIUM
75627568,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74746284,gpt-3.5-turbo,VERY LOW
74746284,meta-llama/Llama-2-7b-chat-hf,LOW
76071743,gpt-3.5-turbo,LOW
76071743,meta-llama/Llama-2-7b-chat-hf,HIGH
75726570,gpt-3.5-turbo,VERY HIGH
75726570,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74864399,gpt-3.5-turbo,VERY HIGH
74864399,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75056105,gpt-3.5-turbo,HIGH
75056105,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75188688,gpt-3.5-turbo,MEDIUM
75188688,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75040685,gpt-3.5-turbo,VERY HIGH
75040685,meta-llama/Llama-2-7b-chat-hf,LOW
74991186,gpt-3.5-turbo,LOW
74991186,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74731934,gpt-3.5-turbo,VERY HIGH
74731934,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74825007,gpt-3.5-turbo,VERY HIGH
74825007,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74905593,gpt-3.5-turbo,HIGH
74905593,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75438995,gpt-3.5-turbo,HIGH
75438995,meta-llama/Llama-2-7b-chat-hf,MEDIUM
76021384,gpt-3.5-turbo,VERY HIGH
76021384,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75390841,gpt-3.5-turbo,LOW
75390841,meta-llama/Llama-2-7b-chat-hf,LOW
74877491,gpt-3.5-turbo,VERY HIGH
74877491,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75950803,gpt-3.5-turbo,VERY LOW
75950803,meta-llama/Llama-2-7b-chat-hf,LOW
75461439,gpt-3.5-turbo,LOW
75461439,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75080882,gpt-3.5-turbo,HIGH
75080882,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75185409,gpt-3.5-turbo,VERY HIGH
75185409,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75374281,gpt-3.5-turbo,LOW
75374281,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75881502,gpt-3.5-turbo,VERY HIGH
75881502,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
74976717,gpt-3.5-turbo,VERY HIGH
74976717,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75184994,gpt-3.5-turbo,MEDIUM
75184994,meta-llama/Llama-2-7b-chat-hf,HIGH
74776471,gpt-3.5-turbo,LOW
74776471,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74916407,gpt-3.5-turbo,MEDIUM
74916407,meta-llama/Llama-2-7b-chat-hf,MEDIUM
76066060,gpt-3.5-turbo,MEDIUM
76066060,meta-llama/Llama-2-7b-chat-hf,HIGH
75318474,gpt-3.5-turbo,LOW
75318474,meta-llama/Llama-2-7b-chat-hf,HIGH
75204334,gpt-3.5-turbo,HIGH
75204334,meta-llama/Llama-2-7b-chat-hf,VERY LOW
74997974,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74997974,gpt-3.5-turbo,VERY LOW
75205360,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75205360,gpt-3.5-turbo,HIGH
75083235,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75083235,gpt-3.5-turbo,MEDIUM
75549944,gpt-3.5-turbo,MEDIUM
75549944,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75763820,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75763820,gpt-3.5-turbo,HIGH
75205665,meta-llama/Llama-2-7b-chat-hf,LOW
75205665,gpt-3.5-turbo,HIGH
76009085,meta-llama/Llama-2-7b-chat-hf,MEDIUM
76009085,gpt-3.5-turbo,MEDIUM
75999602,meta-llama/Llama-2-7b-chat-hf,LOW
75999602,gpt-3.5-turbo,LOW
74912847,meta-llama/Llama-2-7b-chat-hf,LOW
74912847,gpt-3.5-turbo,HIGH
75196037,meta-llama/Llama-2-7b-chat-hf,LOW
75196037,gpt-3.5-turbo,HIGH
75003993,meta-llama/Llama-2-7b-chat-hf,LOW
75003993,gpt-3.5-turbo,LOW
74871587,meta-llama/Llama-2-7b-chat-hf,LOW
74871587,gpt-3.5-turbo,MEDIUM
74652347,meta-llama/Llama-2-7b-chat-hf,LOW
74652347,gpt-3.5-turbo,MEDIUM
75827366,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75827366,gpt-3.5-turbo,VERY HIGH
75555522,gpt-3.5-turbo,VERY LOW
75555522,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75056149,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75056149,gpt-3.5-turbo,MEDIUM
75257103,meta-llama/Llama-2-7b-chat-hf,LOW
75257103,gpt-3.5-turbo,VERY HIGH
74670948,meta-llama/Llama-2-7b-chat-hf,HIGH
74670948,gpt-3.5-turbo,HIGH
74778945,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74778945,gpt-3.5-turbo,VERY HIGH
74807729,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74807729,gpt-3.5-turbo,LOW
75416375,meta-llama/Llama-2-7b-chat-hf,VERY LOW
75416375,gpt-3.5-turbo,VERY HIGH
75762757,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75762757,gpt-3.5-turbo,HIGH
75238728,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75238728,gpt-3.5-turbo,MEDIUM
74794400,meta-llama/Llama-2-7b-chat-hf,MEDIUM
74794400,gpt-3.5-turbo,VERY HIGH
75764309,meta-llama/Llama-2-7b-chat-hf,HIGH
75764309,gpt-3.5-turbo,HIGH
75619912,gpt-3.5-turbo,MEDIUM
75619912,meta-llama/Llama-2-7b-chat-hf,HIGH
75815092,meta-llama/Llama-2-7b-chat-hf,MEDIUM
75815092,gpt-3.5-turbo,HIGH
75514021,meta-llama/Llama-2-7b-chat-hf,VERY HIGH
75514021,gpt-3.5-turbo,VERY HIGH
76009718,meta-llama/Llama-2-7b-chat-hf,MEDIUM
76009718,gpt-3.5-turbo,VERY LOW
74743835,meta-llama/Llama-2-7b-chat-hf,MEDIUM
