ID,,Context Adequacy,External Reference,No Textual Content,Illustrative Context,Question Goal,Domain,Tag Concordance,No Textual Content,External Reference,Illustrative Context
75681460,After,Shalow,,,Code/Error Message,Question,Tools/IDEs/Environment,Strong,,Documentation,
73206798,Before,Shalow,,,,Question,DevOps,Strong,,,
75792418,After,Medium,,,Code/Error Message,Question,Programming Languages,Medium,,,
75090788,After,Medium,,,Code,Question,Tools/IDEs/Environment,Medium,Image,Documentation,
75604275,After,Medium,,,Code,Question,Framework/Library,Medium,,,
74829371,After,Medium,Documentation,,,Question,Programming Languages,Weak,,,
73676116,Before,Medium,,,Code,Open,Programming Languages,Weak,,,Code
74118094,Before,Medium,,,Code,Question,Framework/Library,Weak,,Documentation,
74237043,Before,Shalow,,,Code,Question,Programming Languages,Strong,,,
73903529,Before,Shalow,,,Code,Question,Framework/Library,Medium,,External Link,Code
74349234,Before,Strong,,,Code/ Expected Output,Question,Framework/Library,Strong,,,
75513958,After,Medium,,,Code,Question,Framework/Library,Strong,,Documentation,Code
75346885,After,Medium,,,Code,Question,Programming Languages,Strong,,Documentation/ External Link,Code
75194988,After,Shalow,,,,Question,Database/SQL,Weak,,,
75801284,After,Shalow,,Image,,Question,Framework/Library,Weak,,,
74929519,After,Medium,,,Error message,Open,Framework/Library,Medium,,Documentation,
73841384,Before,Medium,,,Code,Question,Programming Languages,Strong,,,
72854554,Before,Medium,,Image,Code,Question,Framework/Library,Medium,,,
75011823,After,Medium,,,Code,Question,Framework/Library,Medium,,,Code
73072459,Before,Strong,,,Expected Outcome,Question,Programming Languages,Weak,,Documentation,
74490549,Before,Shalow,,,Code,Question,Programming Languages,Medium,,Documentation,Code
76011691,After,Shalow,,,Code/Output,Question,Operating Systems,Medium,,,
73746526,Before,Strong,,,Code/Output,Open,Database/SQL,,,Documentation,
75459074,After,Strong,,,Code/ Expected Output,Open,Framework/Library,Strong,,Another SO question,
75141541,After,Medium,External Link,,,Question,General Programming Concepts,Weak,,,
73683516,Before,Medium,,,Code,Question,Programming Languages,Medium,,,
72970327,Before,Medium,,,Code/Error Message,Question,Tools/IDEs/Environment,Medium,,External Link,
73635965,Before,Medium,,,Code,Question,Programming Languages,Weak,,,
74776364,After,Medium,,,Code,Open,Database/SQL,Medium,,,Code
73537413,Before,Shalow,,,Code,Question,Database/SQL,Medium,,,
75581187,After,Shalow,,,Expected Outcome,Question,Framework/Library,Medium,,Documentation,Code
75701352,After,Medium,,,Code,Questions,Tools/IDEs/Environment,Weak,,Documentation,
75536237,After,Shalow,Another SO question,,Code,Question,General Programming Concepts,Medium,,,
74895100,After,Strong,,,Expected Outcome,Question,Database/SQL,Medium,,,
73591819,Before,Shalow,,,Code,Question,Web development,Strong,,,
75717363,After,Shalow,,,Code,Question,DevOps,Medium,,Documentation,Code
75318474,After,Medium,,Image,Code,Question,Programming Languages,Strong,,,Code/ Expected Outcome
75650611,After,Medium,,Image,Code,Question,Programming Languages,Strong,,,
74318528,Before,Medium,,,Code,Question,Programming Languages,Medium,,,
75412792,After,Shalow,,,Code,Question,Web development,Medium,,,Code
73858913,Before,Medium,,,Code,Question,Programming Languages,Medium,,,Code
73515934,Before,Medium,,,Code/Output,Question,DevOps,Weak,,Documentation,
73633189,Before,Shalow,,,Expected Outcome,Open,Framework/Library,Medium,,Documentation,Code
75763820,After,Medium,Documentation,,Code,Open,Framework/Library,Medium,,Documentation,
75353543,After,Medium,,,Code,Question,Framework/Library,Medium,,,Code
74708210,After,Shalow,,,Expected Outcome,Open,General Programming Concepts,Weak,,,
72986123,Before,Medium,,,Code,Question,Framework/Library,Medium,,Another SO question,
75815092,After,Shalow,,,,Question,DevOps,Weak,,,
74109047,Before,Medium,,,Code,Question,Programming Languages,Medium,,,
73870058,Before,Medium,,,,Question,Operating Systems,Medium,,External Link,
75579392,After,Medium,SO Question/ Documentation,,Error message,Open,Database/SQL,Weak,,,
73791548,Before,Medium,,,Code/ Expected Outcome,Open,Database/SQL,Medium,,External Link,Code
74933094,After,Shalow,,,,Question,DevOps,Medium,,Documentation,
73125825,Before,Medium,,,Code,Question,Programming Languages,Weak,,,
75723026,After,Medium,,,Error Message,Question,Programming Languages,Strong,,,Code
74661098,After,Medium,,,Code,Question,Programming Languages,Medium,,Documentation,Code
73611950,Before,Medium,,,Code,Question,Programming Languages,Strong,,Documentation,
73903603,Before,Medium,SO Question,,Code,Question,Programming Languages,Weak,,,Code
73555284,Before,Strong,,,Code/Error Message,Open,Programming Languages,Strong,,,
74612337,Before,Medium,,Image,Code/ Output,Open,Database/SQL,Medium,,Documentation,Code
73196092,Before,Shalow,,,Code,Open,Tools/IDEs/Environment,Medium,,Documentation,Code
75617550,After,Strong,,,Code,Question,General Programming Concepts,Medium,,,
73977102,Before,Strong,,,Code/Output,Open,Programming Languages,Medium,,,
74571672,Before,Shalow,,,Error Message,Open,Tools/IDEs/Environment,Weak,Image,,Code
75894490,After,Shalow,,,,Question,Database/SQL,Weak,,Documentation,
74626863,After,Medium,,Image,Code,Open,Web development,Medium,,Documentation,Code
74930743,After,Shalow,,Image,Code,Question,Programming Languages,Medium,,,Code
74448709,Before,Medium,,,Code,Open,Framework/Library,Medium,,,Code
75442293,After,Strong,,,Code/ Error message,Open,Framework/Library,Strong,,,Code
73397834,Before,Shalow,,Image,,Question,DevOps,Weak,,Documentation,
74633644,After,Medium,,Image,Code,Open,Framework/Library,Medium,Image,,
74678625,After,Strong,,,Code/ Expected Output,Open,Framework/Library,Weak,,,
75973321,After,Medium,,,Code/ Error Message,Open,Tools/IDEs/Environment,Strong,,Documentation,Code
73314559,Before,Medium,,,Code/Output,Question,Programming Languages,Medium,,,
74168837,Before,Medium,,,Code/Error Message,Question,Programming Languages,Strong,,,
73475744,Before,Medium,,,Code,Question,DevOps,Medium,,,Code
74509701,Before,Shalow,,,Code,Question,Programming Languages,Medium,,,
73538666,Before,Medium,,,Code/Error Message,Open,Programming Languages,Medium,Image,,
74242518,Before,Shalow,,,Code,Open,Database/SQL,Strong,,,Code
74698926,After,Medium,,,Code,Question,Programming Languages,Weak,,Another SO Question,Code
75233987,After,Medium,,,Code,Question,General Programming Concepts,Medium,,Documentation,
75349712,After,Medium,,,Code,Question,Programming Languages,Medium,,,Code
73060562,Before,Shalow,,,,Question,DevOps,Weak,,Documentation,
74440532,Before,Medium,,,Code,Open,Framework/Library,Medium,,,
74903024,After,Shalow,,,Code,Question,Database/SQL,Weak,,,
73985472,Before,Shalow,,Image,Code,Question,Framework/Library,Medium,,,Code
75341458,After,Medium,,,,Open,Framework/Library,Strong,,Documentation,
74795206,After,Shalow,,Image,Code,Open,Framework/Library,Medium,,,
73550999,Before,Medium,,,Code,Question,Programming Languages,Medium,,,Code
73534241,Before,Medium,,Image,Code,Open,Programming Languages,Medium,,,
73000455,Before,Shalow,,,Code,Open,Programming Languages,Weak,,,Code
75080442,After,Medium,,,Code/ Error Message,Question,Programming Languages,Strong,,,
73248689,Before,Medium,Documentation,,Code,Question,Programming Languages,Strong,,Documentation,
74603229,Before,Shalow,,,Code,Question,Web development,Weak,,,Code
74768073,After,Medium,,,Code,Open,DevOps,Medium,,Documentation,
75666984,After,Medium,,,Code,Question,Tools/IDEs/Environment,Weak,,,
75144334,After,Shalow,,,,Question,Tools/IDEs/Environment,Medium,,Documentation,Code
73989407,Before,Medium,,,Code,Open,Framework/Library,Strong,,,Code
76082047,After,Medium,Documentation,,Code/ Error Message,Question,Framework/Library,Medium,Image,,Code
74825007,After,Shalow,,,Code,Open,Programming Languages,Weak,,,
74632731,After,Medium,,,Code/ Expected Output,Open,Database/SQL,Medium,,,
75062538,After,Strong,,,Code,Question,Programming Languages,Medium,,,
73891997,Before,Shalow,,,,Questions,Framework/Library,Weak,,,
73389055,Before,Medium,,,Code,Open,Programming Languages,Strong,,Another SO Question,Code
74955237,After,Shalow,,,,Questions,Tools/IDEs/Environment,Medium,,,
73925755,Before,Medium,,,Code/Error Message,Open,Programming Languages,Weak,,,
73407546,Before,Medium,,,Code/Error Message,Question,Framework/Library,Medium,,Documentation,Code
73694809,Before,Medium,,,Code,Question,Programming Languages,Weak,,,
73367075,Before,Medium,,,Code,Open,Database/SQL,Medium,,,Code
75666909,After,Medium,Another SO question,,Code/Output,Question,Framework/Library,Strong,,,
74758047,After,Shalow,,,Code,Question,Framework/Library,Medium,,,Code
75429405,After,Medium,,,Code,Open,Framework/Library,Strong,,,Code
73101069,Before,Medium,Another SO question,,Code,Open,Programming Languages,Weak,,,Code
73165456,Before,Shalow,,,,Question,Programming Languages,Medium,,,Code
73630660,Before,Medium,,,Code,Open,Programming Languages,Strong,,,
75888265,After,Shalow,,,Error message,Open,Tools/IDEs/Environment,Strong,,Documentation,
75307309,After,Medium,Another SO question,,Code,Question,Programming Languages,Medium,,Documentation,
74870967,After,Shalow,,,Code/ Error Message,Open,General Programming Concepts,Medium,,External Link,Code
75841863,After,Medium,,,Code,Open,Programming Languages,Weak,,Documentation,Code
74704512,After,Shalow,,,Code,Question,Tools/IDEs/Environment,Medium,,,Code
72935457,Before,Shalow,,,Code,Question,Programming Languages,Strong,,Documentation,Code
75958436,After,Strong,,,Code,Question,Programming Languages,Weak,,Documentation,
75210719,After,Strong,,,Code/ Expected Output,Question,Database/SQL,Medium,,Documentation,
74433987,Before,Medium,,,Code,Question,Programming Languages,Medium,,,Code
75205665,After,Medium,,,Expected Outcome,Question,Programming Languages,Weak,,,
74813041,After,Medium,External Link,,Code,Question,Web development,Weak,,,Code
75745637,After,Strong,,,Code/ Expected Output,Question,Programming Languages,Medium,,,
75610549,After,Medium,,,Code/ Error Message,Question,Programming Languages,Medium,,,Code
73543246,Before,Shalow,,,Code,Question,Programming Languages,Weak,,Documentation,
74321568,Before,Shalow,,,Code,Open,Tools/IDEs/Environment,Weak,,,Code
75494817,After,Medium,,,Code,Question,Programming Languages,Medium,,,
74792246,After,Medium,,Image,Code,Question,Programming Languages,Strong,Image,,Code
74694970,After,Medium,,,Code,Question,Database/SQL,Medium,,Documentation,
72965331,Before,Medium,,,Code/ Output,Open,Programming Languages,Medium,,,
75135939,After,Medium,,,Code,Open,Programming Languages,Strong,,,Code
72936313,Before,Medium,,,Code,Question,Framework/Library,Strong,,,
73515766,Before,Medium,,,Code,Open,Framework/Library,Strong,,,
74271731,Before,Strong,,,Code,Open,Programming Languages,Medium,,Documentation,Code
74934470,After,Medium,,,Code,Open,Programming Languages,Medium,,,
73398477,Before,Shalow,,,,Question,Framework/Library,Medium,,External Link,
74905593,After,Medium,,Image,Code,Question,Programming Languages,Weak,,Another SO question,
75854182,After,Shalow,,,,Open,ML/Data Science,Medium,,Documentation,Code
73003300,Before,Shalow,,,Code,Open,Programming Languages,Strong,,,Code
74912847,After,Medium,,,Code,Explanation,Programming Languages,Weak,,,
73704007,Before,Shalow,,,Code,Open,Database/SQL,Medium,,,Code
73292446,Before,Shalow,,,,Question,Web development,Strong,,,
75762757,After,Shalow,,,,Question,Networking,Strong,,,
73195147,Before,Medium,,,Code,Question,Programming Languages,Strong,,,Code
74371499,Before,Medium,,,Code,Question,Programming Languages,Weak,,SO Question/ Documentation,
75993119,After,Medium,,,Code/ Output,Open,General Programming Concepts,Strong,,,Code
75259576,After,Medium,,,Code/Error Message,Question,Tools/IDEs/Environment,Medium,Image,,
73946426,Before,Medium,,,Code,Question,Tools/IDEs/Environment,Medium,,,
73235410,Before,Shalow,,,,Question,DevOps,Medium,,,
73874791,Before,Strong,,,Code/ Expected Output,Question,Programming Languages,Medium,,,
73671051,Before,Medium,,,Code/ Output,Open,Programming Languages,Strong,,,Code
73131247,Before,Medium,,,Code,Question,Framework/Library,Strong,,Documentation,
75390841,After,Shalow,,,,Question,ML/Data Science,Medium,,,Code
