Cosine Metric,,Question ID,Open Context,,,,Question,Domain,Closes Context,Original Answer,,
"47.288.405.895.233.100,00",Before,73805636,Medium,External Link,Image,,Question,Tools/IDEs,Weak,Image,,Code
"47.355.788.946.151.700,00",Before,74237232,Shalow,,,Code,Question,Programming Languages,Medium,,Documentation,Code
"4.764.977.693.557.730,00",After,75449068,Medium,,,Code,Question,Framework/Library,Medium,,,Code
"47.877.490.520.477.200,00",After,76037084,Shalow,,,,Question,Programming Languages,Weak,,,
"4.793.945.550.918.570,00",After,75389612,Medium,,,Code,Open,Programming Languages,Medium,,External Link,Code
"4.812.728.762.626.640,00",Before,72843205,Medium,,Image,Code,Question,Tools/IDEs,Weak,,Documentation,Code
"48.289.790.749.549.800,00",Before,74402927,Medium,,Image,,Question,Tools/IDEs,Medium,Image,,Code
"48.514.848.947.525.000,00",After,75678528,Medium,,Image,Code,Open,Tools/IDEs,Medium,,,Code
"4.857.827.126.979.820,00",Before,74310780,Strong,,,Code/Expected Outcome,Question,Programming Languages,Strong,,,Code
"4.888.434.112.071.990,00",Before,74587419,Medium,,Image,,Open,Tools/IDEs,Strong,,,
"48.926.225.304.603.500,00",After,75463207,Medium,Another SO question,,Code,Question,Programming Languages,Weak,,,Code
"49.036.771.059.036.200,00",Before,73738035,Strong,,,Code/Expected Outcome,Question,Framework/Library,Medium,,Documentation,Code
"4.933.304.488.658.900,00",After,75778261,Strong,,,Code/Error Message,Open,Framework/Library,Weak,,,Code
"49.479.052.424.430.800,00",After,76009718,Medium,,,Code,Question,Framework/Library,Medium,,Documentation,Code
"49.722.784.757.614.100,00",Before,73253228,Medium,,,Code,Open,Framework/Library,Weak,,,
"4.989.616.870.880.120,00",After,75388014,Shalow,,,Code,Open,Programming Languages,Medium,,Documentation,Code
"5.012.032.389.640.800,00",After,75445007,Medium,,,Code,Question,Programming Languages,Strong,,Another SO question,Code
"5.025.424.361.228.940,00",Before,72901581,Strong,,,,Question,DevOps,Weak,,,
"5.029.518.604.278.560,00",Before,74110774,Medium,,,Code,Question,Programming Languages,Weak,,,Code
"5.032.744.407.653.800,00",After,75205360,Strong,,,Code/Expected Outcome,Question,General Programming Concepts,Strong,,,Code
"5.035.840.272.903.440,00",Before,73067624,Medium,Documentation,,Code,Question,Framework/Library,Strong,,Documentation,
"5.040.035.247.802.730,00",After,75259064,Medium,,,Code/Error Message,Open,Programming Languages,Strong,,,Code
"5.043.357.610.702.510,00",Before,72907961,Shalow,,Image,Code,Open,Web development,Weak,,Another SO question,Code
"5.060.762.166.976.920,00",After,75610201,Shalow,,,,Question,Operating Systems,Weak,,External Link,
"508.161.187.171.936,00",After,75279839,Medium,,,Code,Open,Tools/IDEs,Weak,,Documentation/ SO Question,
"5.105.604.529.380.790,00",Before,73225767,Medium,,Image,,Questions,ML/Data Science,Medium,,,Code
"5.119.128.227.233.880,00",After,75767654,Medium,,,Code/Error Message,Open,DevOps,Medium,,,Code
"5.119.807.124.137.870,00",Before,74234235,Shalow,,,Code,Question,Database/SQL,Strong,,,Code
"5.126.835.703.849.790,00",After,74952536,Medium,,,Code,Open,Programming Languages,Medium,,,Code
"5.146.301.984.786.980,00",Before,73270959,Shalow,External Link,,,Open,Framework/Library,Medium,,,Code
"515.081.524.848.938,00",After,75922766,Medium,Documentation,,Code,Question,Framework/Library,Medium,,,Code
"515.574.038.028.717,00",After,75659998,Shalow,,,,Question,Programming Languages,Medium,,,Code
"517.700.731.754.303,00",After,75323021,Medium,,,Code,Question,DevOps,Strong,,,Code
"5.177.192.091.941.830,00",Before,73690166,Medium,,,,Question,Tools/IDEs,Weak,,Documentation,
"5.179.347.991.943.350,00",After,74731934,Medium,,,Code,Question,Programming Languages,Medium,,,Code
"5.182.449.221.611.020,00",After,74795206,Medium,,Image,Code,Open,Framework/Library,Strong,,,
"5.194.566.249.847.410,00",After,75039363,Medium,,,Code,Question,Programming Languages,Medium,,,
"5.199.140.906.333.920,00",Before,74257296,Strong,,,Code/Expected Outcome,Question,General Programming Concepts,Strong,,,Code
"5.209.543.704.986.570,00",Before,73410719,Medium,,Image,Code/Error Message,Question,Framework/Library,Strong,,,Code
"5.240.468.978.881.830,00",After,74962116,Medium,,,Code,Question,General Programming Concepts,Medium,,Documentation,Code
"5.247.803.926.467.890,00",After,75119837,Strong,,Image,Code,Question,Programming Languages,Strong,Image,,Code
"5.250.146.389.007.560,00",Before,73158541,Medium,,,Code,Open,Programming Languages,Weak,,,Code
"5.251.772.403.717.040,00",After,75915685,Medium,,Image,Code,Question,Framework/Library,Medium,,Documentation,Code
"5.253.371.596.336.360,00",Before,74365692,Medium,,,Code,Question,Framework/Library,Medium,,,Code
"5.279.732.942.581.170,00",After,74864399,Medium,,,Code/Expected Outcome,Question,Framework/Library,Medium,,Documentation,Code
"5.287.180.542.945.860,00",After,75380288,Medium,,,Code,Question,Framework/Library,Strong,,,Code
"5.317.084.789.276.120,00",Before,73717005,Shalow,,Image,Code,Question,Framework/Library,Medium,Image,,Code
"5.347.771.644.592.280,00",Before,74481905,Medium,,,Code/Error Message,Open,Programming Languages,Weak,,,Code
"5.350.182.056.427.000,00",Before,72863142,Strong,,,,Question,Tools/IDEs,Medium,,Documentation,
"5.355.614.423.751.830,00",Before,74339986,Shalow,,,Code,Explanation,General Programming Concepts,Strong,,,Code
"5.380.882.620.811.460,00",After,75260382,Shalow,External Link,Image,,Question,Framework/Library,Weak,,Documentation,Code
"5.387.897.491.455.070,00",Before,74560568,Shalow,,,Code,Question,Framework/Library,Weak,,External Link,Code
"5.405.722.856.521.600,00",Before,73354652,Medium,,,Code/Error Message,Question,Programming Languages,Strong,,Documentation,Code
"5.415.804.982.185.360,00",After,75074930,Medium,,,Code,Question,General Programming Concepts,Strong,,,Code
"5.418.840.050.697.320,00",After,74077744,Medium,,,Code,Open,General Programming Concepts,Medium,,,
"5.423.610.210.418.700,00",After,75555522,Medium,,,Code,Question,Database/SQL,Strong,,,Code
"5.433.088.541.030.880,00",Before,73810279,Medium,External Link,,Code/Error Message,Open,Tools/IDEs,Medium,,,
"543.394.148.349.762,00",After,75345766,Medium,,,Code,Open,Database/SQL,Medium,,,Code
"5.443.882.942.199.700,00",After,75128735,Medium,,,Code,Question,Programming Languages,Weak,,,Code
"5.445.023.775.100.700,00",After,75827366,Medium,External Link,,,Open,Tools/IDEs,Weak,Image,Documentation,Code
"5.455.957.651.138.300,00",After,74743227,Shalow,,Image,Code,Open,Framework/Library,Strong,,,Code
"5.457.485.318.183.890,00",Before,73184914,Strong,,,Code,Question,Framework/Library,Strong,,Documentation,
"546.021.044.254.303,00",Before,72826154,Medium,,,,Open,Tools/IDEs,Medium,,,
"5.470.371.842.384.330,00",Before,73296988,Medium,,,Code,Question,Framework/Library,Medium,,External Link,Code
"5.471.402.406.692.500,00",After,76034504,Medium,,,Code,Question,Programming Languages,Weak,,,Code
"5.472.739.934.921.260,00",After,75185409,Medium,,Image,Code,Open,ML/Data Science,Strong,,,Code
"5.490.797.162.055.960,00",Before,73206867,Shalow,,,,Open,Framework/Library,Medium,,,
"5.498.879.551.887.510,00",Before,73979650,Strong,,,Expected Outcome,Question,Tools/IDEs,Medium,Image,Another SO question,Code
"5.513.647.794.723.510,00",After,76053426,Strong,,,Code/Expected Outcome,Question,Framework/Library,Medium,,Documentation,Code
"5.514.222.383.499.140,00",After,74587470,Strong,,Image,Code,Question,Programming Languages,Strong,,Documentation,Code
"552.152.693.271.637,00",After,75768527,Shalow,,,Code,Question,Framework/Library,Medium,,,Code
"5.532.912.015.914.910,00",Before,73504314,Medium,,,Code,Question,Programming Languages,Medium,,Documentation,Code
"5.543.678.998.947.140,00",After,74877491,Medium,,,Code,Question,General Programming Concepts,Medium,,,Code
"5.547.575.950.622.550,00",After,75922360,Medium,,Image,Code,Question,Framework/Library,Strong,Image,,Code
"5.551.750.659.942.620,00",After,75409618,Medium,,,Code,Question,Framework/Library,Medium,,,Code
"5.560.951.828.956.600,00",Before,74357958,Shalow,,Image,Code,Question,Web development,Medium,,,Code
"5.562.021.732.330.320,00",After,76048911,Shalow,,,,Question,Database/SQL,Medium,,External Link,
"5.562.607.645.988.460,00",Before,74095245,Medium,,,Code/Error Message,Question,ML/Data Science,Strong,,,Code
"5.576.758.980.751.030,00",After,75477705,Strong,Documentation,,,Question,Tools/IDEs,Weak,,,
"5.581.738.352.775.570,00",After,75517381,Medium,,,Code,Question,Operating Systems,Weak,,External Link,Code
"5.582.853.555.679.320,00",Before,73364270,Shalow,,,Code,Open,Web development,Strong,,Documentation,Code
"5.588.647.127.151.480,00",Before,74328847,Medium,,,Code,Question,Programming Languages,Weak,,Documentation,
"5.598.090.887.069.700,00",After,74857640,Medium,,,,Question,DevOps,Medium,,Another SO question,
"5.601.884.126.663.200,00",Before,73475091,Strong,,,Code/Expected Outcome,Question,Framework/Library,Strong,,,Code
"5.605.376.362.800.590,00",Before,73547364,Medium,,,Code,Open,Web development,Medium,,External Link,Code
"5.605.884.194.374.080,00",Before,73410047,Strong,,,Code,Question,Framework/Library,Medium,,,Code
"5.615.248.084.068.290,00",Before,74284478,Medium,,Image,Code,Question,Programming Languages,Strong,,,Code
"5.615.949.630.737.300,00",After,76028371,Strong,External Link,,Code,Question,Programming Languages,Weak,,Documentation,Code
"5.620.145.797.729.490,00",Before,74328779,Medium,,,Code,Question,Framework/Library,Medium,,,Code
"5.621.445.178.985.590,00",After,75338255,Strong,Another SO question,,Code,Question,Framework/Library,Medium,,,
"5.621.693.730.354.300,00",Before,74127525,Medium,Another SO question,,Code,Question,Tools/IDEs,Strong,,Documentation,Code
"5.622.120.499.610.900,00",After,75652520,Strong,,,Code/Expected Outcome,Question,Framework/Library,Strong,,,Code
"5.628.622.770.309.440,00",After,74934504,Medium,,,,Question,Framework/Library,Strong,,,Code
"5.630.857.944.488.520,00",Before,73616779,Shalow,,,,Question,DevOps,Medium,,Documentation,Code
"5.631.155.371.665.950,00",Before,74187884,Medium,,,Code,Question,Framework/Library,Medium,,,Code
"5.631.979.703.903.190,00",Before,74083779,Strong,,,Code/Error Message,Questions,Programming Languages,Weak,,,Code
"5.633.628.368.377.680,00",Before,73316739,Medium,,Image,Code,Question,Framework/Library,Strong,,,Code
"5.635.828.375.816.340,00",After,75980105,Shalow,,Image,,Question,Database/SQL,Strong,,,Code
"5.642.621.517.181.390,00",After,74911648,Medium,,,,Question,Web development,Medium,,,Code
,Before,73611112,Medium,,,Code,Question,Programming Languages,Medium,,Documentation/ SO Question,Code
