ID,Context Adequacy,External Reference,No Textual Content,Illustrative Context,Question Goal,",",Tag Concordance,No Textual Content,External Reference,Illustrative Context,
73218534,Medium,,,Code,Question,Framework/Dependency,Medium,,Another SO question,Code,
74625152,Medium,Another SO question,,Code,Question,Operating Systems,Medium,,,Code,
75715631,Medium,,,Code,Question,Framework/Dependency,Medium,,Documentation,Code,
74381155,Medium,,,Error message,Question,DevOps,Medium,,,Code,Before
75056287,Strong,,,Code/ Expected output,Open,Framework/Dependency,Medium,,,Code,After
73611112,Medium,,,Code,Question,Programming Languages,Medium,,Documentation/ SO Question,Code,
73879329,Medium,,,Code/ Error message,Question,Database/SQL,Medium,,,Code,Before
75085893,Medium,External Link,,Code,Question,Tools/IDEs,Medium,,External Link,Code,After
74365144,Medium,,,Code,Question,Framework/Dependency,Weak,,,Code,Before
75689998,Medium,,,Code/Error Message,Open,Framework/Dependency,Strong,,,Code,
76066060,Medium,,Image,Code,Question,Framework/Dependency,Strong,,,Code,After
74214892,Medium,,,Code,Open,Framework/Dependency,Strong,,Documentation,,
75100575,Medium,,Image,Code,Question,Web development,Strong,,,Code,
74041404,Medium,,,Code,Question,DevOps,Strong,,,,
75778261,Strong,,,Code/Error Message,Open,Framework/Dependency,Weak,,,Code,
73553976,Strong,,,Code,Question,Programming Languages,Medium,,,,
74328847,Medium,,,Code,Question,Programming Languages,Weak,,Documentation,,
75709844,Medium,,,Code,Open,Programming Languages,Medium,,Another SO question,Code,
72971634,Shalow,,Image,Code,Question,Framework/Dependency,Weak,,,Code,
73675612,Medium,,,Code,Question,Tools/IDEs,Strong,Image,,,Before
73410719,Medium,,Image,Code/Error Message,Question,Framework/Dependency,Strong,,,Code,
76071743,Medium,,Image,,Question,Framework/Dependency,Medium,Image,,Code,After
74481905,Medium,,,Code/Error Message,Open,Programming Languages,Weak,,,Code,
73810279,Medium,External Link,,Code/Error Message,Open,Tools/IDEs,Medium,,,,
73184914,Strong,,,Code,Question,Framework/Dependency,Strong,,Documentation,,
75449068,Medium,,,Code,Question,Framework/Dependency,Medium,,,Code,
75555522,Medium,,,Code,Question,Database/SQL,Strong,,,Code,
74919045,Shalow,External Link,,,Open,Tools/IDEs,Weak,,,,After
73674092,Shalow,,Image,,Question,Framework/Dependency,Weak,,,,Before
74910014,Shalow,,,Code,Question,Programming Languages,Weak,,,Code,After
75789993,Shalow,,,Code,Question,Framework/Dependency,Weak,,,Code,After
73201201,Medium,,,Code,Question,Database/SQL,Medium,,,Code,
74263069,Medium,,,Code,Open,Tools/IDEs,Medium,,,Code,Before
72843205,Medium,,Image,Code,Question,Tools/IDEs,Weak,,Documentation,Code,
74407560,Medium,,,Code,Question,ML/Data Science,Strong,,,Code,Before
73102323,Shalow,,Image,,Question,Tools/IDEs,Weak,Image,Documentation/ External link,Code,Before
74393426,Medium,External Link,,,Question,General Programming Concepts,Strong,,,,
75694420,Medium,,,Code/ Output,Question,Database/SQL,Weak,,External Link,Code,After
75205360,Strong,,,Code/Expected Outcome,Question,General Programming Concepts,Strong,,,Code,
74234235,Shalow,,,Code,Question,Database/SQL,Strong,,,Code,
76037084,Shalow,,,,Question,Programming Languages,Weak,,,,
75477705,Strong,Documentation,,,Question,Tools/IDEs,Weak,,,,
73004413,Shalow,,,Code,Open,DevOps,Weak,,External Link,Code,
72954104,Shalow,,,,Question,Tools/IDEs,Medium,,,,
74310780,Strong,,,Code/Expected Outcome,Question,Programming Languages,Strong,,,Code,
74952536,Medium,,,Code,Open,Programming Languages,Medium,,,Code,
75584772,Medium,,,Code,Question,Framework/Dependency,Weak,,,Code,After
74110774,Medium,,,Code,Question,Programming Languages,Weak,,,Code,
73422387,Shalow,Documentation,,,Question,Tools/IDEs,Medium,,Another SO question,Code,Before
73646644,Medium,,,Code,Question,Programming Languages,Weak,,Documentation,Code,Before
74284478,Medium,,Image,Code,Question,Programming Languages,Strong,,,Code,
75211654,Shalow,,,,Question,Tools/IDEs,Medium,,,,
74731934,Medium,,,Code,Question,Programming Languages,Medium,,,Code,
73300008,Strong,,,Code,Question,DevOps,Strong,,,,Before
74257296,Strong,,,Code/Expected Outcome,Question,General Programming Concepts,Strong,,,Code,
74237232,Shalow,,,Code,Question,Programming Languages,Medium,,Documentation,Code,
74368270,Medium,Another SO question,,Code,Open,Framework/Dependency,Medium,,,,Before
75204334,Medium,,,Code/ Error message,Open,Framework/Dependency,Weak,,,Code,After
75659998,Shalow,,,,Question,Programming Languages,Medium,,,Code,
74717107,Shalow,,Image,,Open,Tools/IDEs,Strong,,,Code,After
74866512,Shalow,,,,Question,Tools/IDEs,Weak,,,Code,After
74777076,Medium,,,Code,Question,Framework/Dependency,Medium,Image,Documentation,Code,After
75188688,Medium,,,Code,Question,Database/SQL,Weak,,Documentation/ External Link,Code,After
73750290,Medium,,,Code,Question,Programming Languages,Medium,,,Code,Before
75056105,Shalow,,,,Question,Tools/IDEs,Medium,,,Code,After
74077744,Medium,,,Code,Open,General Programming Concepts,Medium,,,,
75323021,Medium,,,Code,Question,DevOps,Strong,,,Code,
75363507,Medium,,,Code/ Output,Question,Programming Languages,Weak,,Documentation,Code,After
73867414,Medium,,,,Question,DevOps,Weak,,External Link,,
75114654,Shalow,,,Code,Open,Networking,Medium,,,,After
75514021,Medium,,,Code,Question,Programming Languages,Medium,,,Code,After
75491505,Medium,,,Code,Question,Framework/Dependency,Strong,,,,After
75517381,Medium,,,Code,Question,Operating Systems,Weak,,External Link,Code,
74500669,Medium,,,Code,Question,Programming Languages,Weak,,,Code,Before
74729692,Medium,,,Code,Question,Programming Languages,Medium,,,Code,After
73464752,Medium,,,Code,Question,Framework/Dependency,Medium,,Documentation,,
75768527,Shalow,,,Code,Question,Framework/Dependency,Medium,,,Code,
75922766,Medium,Documentation,,Code,Question,Framework/Dependency,Medium,,,Code,
74603346,Medium,,,,Open,Database/SQL,Weak,,,Code,Before
73738035,Strong,,,Code/Expected Outcome,Question,Framework/Dependency,Medium,,Documentation,Code,
74691834,Shalow,,,Code,Question,ML/Data Science,Medium,,,,After
75958646,Medium,,,Code/ Error Message,Question,Framework/Dependency,Medium,,Documentation,Code,After
75534461,Shalow,,,,Open,Programming Languages,Medium,,Documentation,Code,After
74339986,Shalow,,,Code,Explanation,General Programming Concepts,Strong,,,Code,
73077152,Medium,,Image,Code,Question,Database/SQL,Medium,,Documentation,Code,Before
73076798,Shalow,,,Code,Question,General Programming Concepts,Weak,,,Code,
74475086,Shalow,,,Expected Output,Open,Programming Languages,Weak,,,Code,Before
74594144,Shalow,,,Code,Open,Programming Languages,Weak,,,Code,
75312392,Shalow,,,Code,Open,Tools/IDEs,Medium,,,,After
75039363,Medium,,,Code,Question,Programming Languages,Medium,,,,
75040685,Shalow,,,Code,Question,Tools/IDEs,Medium,Image,,Cide,After
76053426,Strong,,,Code/Expected Outcome,Question,Framework/Dependency,Medium,,Documentation,Code,
74637515,Medium,,,Code,Question,Tools/IDEs,Strong,,,Code,
73316739,Medium,,Image,Code,Question,Framework/Dependency,Strong,,,Code,
75445007,Medium,,,Code,Question,Programming Languages,Strong,,Another SO question,Code,
73546092,Shalow,,,,Question,General Programming Concepts,Weak,,Another SO question,Code,Before
73528506,Medium,,Image,Code,Open,Programming Languages,Medium,,,Code/ Output,Before
75672793,Medium,,,Code,Question,Programming Languages,Weak,,,Code,After
75377220,Shalow,,,,Question,Framework/Dependency,Medium,,Documentation,,After
75652520,Strong,,,Code/Expected Outcome,Question,Framework/Dependency,Strong,,,Code,
75827366,Medium,External Link,,,Open,Tools/IDEs,Weak,Image,Documentation,Code,
73669427,Shalow,,,,Question,Tools/IDEs,Medium,,,,Before
74560568,Shalow,,,Code,Question,Framework/Dependency,Weak,,External Link,Code,
75198599,Shalow,,,,Questions,Programming Languages,Weak,,Documentation,,After
75257103,Medium,,Image,Code,Question,Framework/Dependency,Medium,,,Code,
75012061,Medium,,,Code,Question,Programming Languages,Medium,,,Code,After
75642280,Medium,,,Code,Question,Programming Languages,Medium,,Documentation,,After
74026877,Medium,,,Code/ Error Message,Open,DevOps,Medium,,Documentation,,Before
75953590,Medium,,,Code,Open,Framework/Dependency,Strong,,,Code,After
75274866,Shalow,Another SO question,,Code,Open,DevOps,Medium,,Documentation,Code,After
74189852,Shalow,Documentation,,,Open,DevOps,Weak,,,,Before
75881502,Medium,,Image,Code,Question,Framework/Dependency,Medium,Image,,Code,After
75238728,Shalow,,,Code,Open,Web development,Medium,,,Code,After
72966905,Shalow,,,,Open,Programming Languages,Weak,Image,,Code,Before
74244055,Medium,,,Code,Open,Programming Languages,Weak,,Documentation/ External Link,,Before
75644586,Shalow,,,Code,Question,Operating Systems,Medium,,,,After
74187884,Medium,,,Code,Question,Framework/Dependency,Medium,,,Code,
74743835,Medium,,,Code,Question,Programming Languages,Weak,,,Code,
74548191,Shalow,,Image,Code,Question,Tools/IDEs,Weak,Image,Another SO question,Code,
72905471,Medium,,,Code,Question,Framework/Dependency,Medium,,,,Before
75909740,Shalow,,Image,,Question,Framework/Dependency,Medium,Image,,,
75686934,Strong,,,Code,Question,Programming Languages,Medium,,,Code,After
73270959,Shalow,External Link,,,Open,Framework/Dependency,Medium,,,Code,
75132488,Strong,,,Code/ Expected Output,Open,Framework/Dependency,Medium,,Documentation,Code,After
